id;fecha
9a1c27fe-9a09-4e49-a1e5-5e9929b5e189;2024-02-24 13:21:04.639733
3b3fcfa6-8af8-4dca-845f-d00a3a942087;2024-02-24 13:21:04.712050
a053218c-c832-4dca-8c35-00b74f1c14b3;2024-02-24 13:21:04.891989
0c42665a-1b7f-4d96-9bdf-42da17382156;2024-02-24 13:21:04.975125
59371569-e480-4320-9e25-5381db8235cd;2024-02-24 13:21:04.986726
6c0811e0-f061-4d23-8800-6ff512ebbf20;2024-02-24 13:21:05.183072
8fc4bad3-4ba3-4f65-be33-6f9373196a2f;2024-02-24 13:21:05.211572
7d347c72-f874-409d-ab91-8e069c7f852f;2024-02-24 13:21:05.223121
307158a5-a912-4b21-bd11-2c2ac21fbbc3;2024-02-24 13:21:05.337999
93802964-9870-40dc-a7a1-7d7c57ae46c6;2024-02-24 13:21:05.721562
